YouTube ID,start seconds,label,train/test split,thumbnail,predicted_materials,predicted_sounds
-7FjXQgpVXw,220,stream burbling,train,https://img.youtube.com/vi/-7FjXQgpVXw/0.jpg,,
-7IhwezUrUA,590,eating with cutlery,test,https://img.youtube.com/vi/-7IhwezUrUA/0.jpg,,
-7XFd8-F2oI,26,machine gun shooting,train,https://img.youtube.com/vi/-7XFd8-F2oI/0.jpg,,
-7_kMQrvjpE,58,"subway, metro, underground",train,https://img.youtube.com/vi/-7_kMQrvjpE/0.jpg,,
-7_kMQrvjpE,93,"subway, metro, underground",train,https://img.youtube.com/vi/-7_kMQrvjpE/0.jpg,,
-7cMtsWTtnQ,200,people clapping,train,https://img.youtube.com/vi/-7cMtsWTtnQ/0.jpg,,
-7hQNEhU6Vk,30,playing snare drum,train,https://img.youtube.com/vi/-7hQNEhU6Vk/0.jpg,,
-7uB0O_imb4,30,horse clip-clop,train,https://img.youtube.com/vi/-7uB0O_imb4/0.jpg,,
-7uwQqneg8k,30,helicopter,train,https://img.youtube.com/vi/-7uwQqneg8k/0.jpg,,
-7y2MyFd9p4,30,"engine accelerating, revving, vroom",train,https://img.youtube.com/vi/-7y2MyFd9p4/0.jpg,,
-7zz2BLOpyQ,30,fireworks banging,train,https://img.youtube.com/vi/-7zz2BLOpyQ/0.jpg,,
-7zzPh_gKKc,8,car engine knocking,train,https://img.youtube.com/vi/-7zzPh_gKKc/0.jpg,,
-8290BNLsas,180,skidding,train,https://img.youtube.com/vi/-8290BNLsas/0.jpg,,
-8MQkHxpSaE,40,lighting firecrackers,train,https://img.youtube.com/vi/-8MQkHxpSaE/0.jpg,,
-8MQkHxpSaE,52,lighting firecrackers,train,https://img.youtube.com/vi/-8MQkHxpSaE/0.jpg,,
-8Nvvo3qM-A,30,toilet flushing,train,https://img.youtube.com/vi/-8Nvvo3qM-A/0.jpg,,
-8S9TKWIOSc,30,chainsawing trees,train,https://img.youtube.com/vi/-8S9TKWIOSc/0.jpg,,
-8YTu7ZGA2w,30,driving buses,train,https://img.youtube.com/vi/-8YTu7ZGA2w/0.jpg,,
-8ZOwkCXR1w,239,firing cannon,train,https://img.youtube.com/vi/-8ZOwkCXR1w/0.jpg,,
-8ju6V8B5Oc,40,toilet flushing,train,https://img.youtube.com/vi/-8ju6V8B5Oc/0.jpg,,
-8lGZavlNro,30,"motorboat, speedboat acceleration",train,https://img.youtube.com/vi/-8lGZavlNro/0.jpg,,
-8nDdZtXtQ4,30,people running,train,https://img.youtube.com/vi/-8nDdZtXtQ4/0.jpg,,
-9-BGrFFmgI,30,sailing,train,https://img.youtube.com/vi/-9-BGrFFmgI/0.jpg,,
-91lUg0_Gl8,151,horse clip-clop,train,https://img.youtube.com/vi/-91lUg0_Gl8/0.jpg,,
-9GhPxGkpio,26,driving buses,train,https://img.youtube.com/vi/-9GhPxGkpio/0.jpg,,
-9HoMjD6Opk,30,chainsawing trees,train,https://img.youtube.com/vi/-9HoMjD6Opk/0.jpg,,
-9KfxCfZg_4,0,"motorboat, speedboat acceleration",train,https://img.youtube.com/vi/-9KfxCfZg_4/0.jpg,,
-9NoQ1XeqS8,30,printer printing,train,https://img.youtube.com/vi/-9NoQ1XeqS8/0.jpg,,
-9OW8nLwvuY,30,"engine accelerating, revving, vroom",train,https://img.youtube.com/vi/-9OW8nLwvuY/0.jpg,,
-9WmXSv1zeY,30,people burping,train,https://img.youtube.com/vi/-9WmXSv1zeY/0.jpg,,
-9df2qdbIJM,0,people clapping,train,https://img.youtube.com/vi/-9df2qdbIJM/0.jpg,,
-9k2Z_hxYpU,130,helicopter,train,https://img.youtube.com/vi/-9k2Z_hxYpU/0.jpg,,
-9ummbDsgFM,30,chainsawing trees,train,https://img.youtube.com/vi/-9ummbDsgFM/0.jpg,,
-9vw5ZzChT0,0,skidding,train,https://img.youtube.com/vi/-9vw5ZzChT0/0.jpg,,
-9wRxzJ5j_Y,0,splashing water,train,https://img.youtube.com/vi/-9wRxzJ5j_Y/0.jpg,,
-9yf3oNuowg,30,raining,train,https://img.youtube.com/vi/-9yf3oNuowg/0.jpg,,
-9yppEpEnVo,150,people clapping,train,https://img.youtube.com/vi/-9yppEpEnVo/0.jpg,,
-A1o1Egi20c,60,church bell ringing,test,https://img.youtube.com/vi/-A1o1Egi20c/0.jpg,,
-AAoQGFqftw,120,cap gun shooting,train,https://img.youtube.com/vi/-AAoQGFqftw/0.jpg,,
-ABOfhcXwt8,17,people running,test,https://img.youtube.com/vi/-ABOfhcXwt8/0.jpg,,
-AFGfu5zOzQ,30,skateboarding,train,https://img.youtube.com/vi/-AFGfu5zOzQ/0.jpg,,
-AJ-i44WlRc,193,people finger snapping,train,https://img.youtube.com/vi/-AJ-i44WlRc/0.jpg,,
-AJ-i44WlRc,273,people finger snapping,train,https://img.youtube.com/vi/-AJ-i44WlRc/0.jpg,,
-ANxUxvGASw,10,"subway, metro, underground",test,https://img.youtube.com/vi/-ANxUxvGASw/0.jpg,,
-AYTdHxF3MQ,25,wind noise,train,https://img.youtube.com/vi/-AYTdHxF3MQ/0.jpg,,
-AYbRvMHKi8,95,lighting firecrackers,train,https://img.youtube.com/vi/-AYbRvMHKi8/0.jpg,,
-AdWXq6teXg,30,horse clip-clop,train,https://img.youtube.com/vi/-AdWXq6teXg/0.jpg,,
-AfJKhf6P3U,30,horse clip-clop,train,https://img.youtube.com/vi/-AfJKhf6P3U/0.jpg,,
-AioliAg12U,10,"railroad car, train wagon",train,https://img.youtube.com/vi/-AioliAg12U/0.jpg,,
-AltV1ftMk8,170,people clapping,train,https://img.youtube.com/vi/-AltV1ftMk8/0.jpg,,
-Am9MfJ6Z2o,60,eating with cutlery,test,https://img.youtube.com/vi/-Am9MfJ6Z2o/0.jpg,,
-Aqjx8NLZuU,70,wind noise,train,https://img.youtube.com/vi/-Aqjx8NLZuU/0.jpg,,
-Asxv7Yv2mo,50,"rowboat, canoe, kayak rowing",train,https://img.youtube.com/vi/-Asxv7Yv2mo/0.jpg,,
-Az-P2YqdRU,30,skidding,train,https://img.youtube.com/vi/-Az-P2YqdRU/0.jpg,,
-B-HOrOK4PQ,50,lawn mowing,train,https://img.youtube.com/vi/-B-HOrOK4PQ/0.jpg,,
-B7CokGOR1s,85,lighting firecrackers,train,https://img.youtube.com/vi/-B7CokGOR1s/0.jpg,,
-B7CokGOR1s,109,lighting firecrackers,train,https://img.youtube.com/vi/-B7CokGOR1s/0.jpg,,
-BDSrWLpZrE,50,printer printing,train,https://img.youtube.com/vi/-BDSrWLpZrE/0.jpg,,
-BFmitXDvaU,150,using sewing machines,train,https://img.youtube.com/vi/-BFmitXDvaU/0.jpg,,
-BGebo8V4XY,0,driving motorcycle,train,https://img.youtube.com/vi/-BGebo8V4XY/0.jpg,,
-BIuMd0jCjU,10,helicopter,train,https://img.youtube.com/vi/-BIuMd0jCjU/0.jpg,,
-BPcjlI7-R4,30,thunder,train,https://img.youtube.com/vi/-BPcjlI7-R4/0.jpg,,
-BZ6I5i_kW4,0,toilet flushing,train,https://img.youtube.com/vi/-BZ6I5i_kW4/0.jpg,,
-BZD5cNDyNc,380,wind noise,train,https://img.youtube.com/vi/-BZD5cNDyNc/0.jpg,,
-BaMFLQMRWg,90,stream burbling,train,https://img.youtube.com/vi/-BaMFLQMRWg/0.jpg,,
-Bfkr-Zy1jM,102,people burping,train,https://img.youtube.com/vi/-Bfkr-Zy1jM/0.jpg,,
-BrnUAUA37o,30,chainsawing trees,train,https://img.youtube.com/vi/-BrnUAUA37o/0.jpg,,
-BtHxM5Uvig,20,driving motorcycle,train,https://img.youtube.com/vi/-BtHxM5Uvig/0.jpg,,
-CA85zgJgKM,30,people shuffling,train,https://img.youtube.com/vi/-CA85zgJgKM/0.jpg,,
-CAWmG77Z7w,523,people clapping,train,https://img.youtube.com/vi/-CAWmG77Z7w/0.jpg,,
-CAWmG77Z7w,935,people clapping,train,https://img.youtube.com/vi/-CAWmG77Z7w/0.jpg,,
-CEfebOUFQo,435,people shuffling,train,https://img.youtube.com/vi/-CEfebOUFQo/0.jpg,,
-CI9mVOAK-k,30,playing snare drum,train,https://img.youtube.com/vi/-CI9mVOAK-k/0.jpg,,
-CPm5WUgPxs,88,fire crackling,train,https://img.youtube.com/vi/-CPm5WUgPxs/0.jpg,,
-CPm5WUgPxs,184,fire crackling,train,https://img.youtube.com/vi/-CPm5WUgPxs/0.jpg,,
-CZ1LIc8aos,20,car passing by,test,https://img.youtube.com/vi/-CZ1LIc8aos/0.jpg,,
-Cb4nIzv3ug,30,"motorboat, speedboat acceleration",train,https://img.youtube.com/vi/-Cb4nIzv3ug/0.jpg,,
-CekKuZXKJ8,0,cap gun shooting,train,https://img.youtube.com/vi/-CekKuZXKJ8/0.jpg,,
-CekKuZXKJ8,14,cap gun shooting,train,https://img.youtube.com/vi/-CekKuZXKJ8/0.jpg,,
-CfhAXuBCJQ,118,basketball bounce,train,https://img.youtube.com/vi/-CfhAXuBCJQ/0.jpg,,
-Chm_TzeYjA,40,wind rustling leaves,train,https://img.youtube.com/vi/-Chm_TzeYjA/0.jpg,,
-CsnNy_s4EY,30,car passing by,train,https://img.youtube.com/vi/-CsnNy_s4EY/0.jpg,,
-DHGwygUsQc,30,skateboarding,train,https://img.youtube.com/vi/-DHGwygUsQc/0.jpg,,
-DHzLavApwc,12,sliding door,train,https://img.youtube.com/vi/-DHzLavApwc/0.jpg,,
-DPpAs6owBI,65,people burping,train,https://img.youtube.com/vi/-DPpAs6owBI/0.jpg,,
-DSNfC2EJhU,20,toilet flushing,train,https://img.youtube.com/vi/-DSNfC2EJhU/0.jpg,,
-DUbVX0TRTA,12,"rowboat, canoe, kayak rowing",train,https://img.youtube.com/vi/-DUbVX0TRTA/0.jpg,,
-DVM0BK_h5A,30,chainsawing trees,train,https://img.youtube.com/vi/-DVM0BK_h5A/0.jpg,,
-DXq8b_yfTQ,240,wind noise,train,https://img.youtube.com/vi/-DXq8b_yfTQ/0.jpg,,
-DaNn4McBi8,0,door slamming,train,https://img.youtube.com/vi/-DaNn4McBi8/0.jpg,,
-DrChjJRNIk,80,"subway, metro, underground",train,https://img.youtube.com/vi/-DrChjJRNIk/0.jpg,,
-DrSYwxg_eM,30,waterfall burbling,train,https://img.youtube.com/vi/-DrSYwxg_eM/0.jpg,,
-DsLaGntv9s,18,stream burbling,train,https://img.youtube.com/vi/-DsLaGntv9s/0.jpg,,
-E5O64NnqeM,9,playing snare drum,train,https://img.youtube.com/vi/-E5O64NnqeM/0.jpg,,
-EFu7tP-QEk,30,toilet flushing,train,https://img.youtube.com/vi/-EFu7tP-QEk/0.jpg,,
-EGv9SjbqXs,30,sliding door,train,https://img.youtube.com/vi/-EGv9SjbqXs/0.jpg,,
-EXGVV11btY,340,church bell ringing,train,https://img.youtube.com/vi/-EXGVV11btY/0.jpg,,
-EaZ7EJJUl0,50,eating with cutlery,train,https://img.youtube.com/vi/-EaZ7EJJUl0/0.jpg,,
-Ejdbj6I2W4,0,fireworks banging,train,https://img.youtube.com/vi/-Ejdbj6I2W4/0.jpg,,
-Ena0OylxH8,2,"motorboat, speedboat acceleration",train,https://img.youtube.com/vi/-Ena0OylxH8/0.jpg,,
-Etzr_L-R1E,30,lawn mowing,train,https://img.youtube.com/vi/-Etzr_L-R1E/0.jpg,,
-F6GfPwjLWo,30,toilet flushing,train,https://img.youtube.com/vi/-F6GfPwjLWo/0.jpg,,
-FETUSTJUo4,10,people farting,train,https://img.youtube.com/vi/-FETUSTJUo4/0.jpg,,
-FFeLquyrFQ,0,basketball bounce,train,https://img.youtube.com/vi/-FFeLquyrFQ/0.jpg,,
-FWxy7eaFJE,30,waterfall burbling,train,https://img.youtube.com/vi/-FWxy7eaFJE/0.jpg,,
-FakAjtg2uk,25,opening or closing drawers,train,https://img.youtube.com/vi/-FakAjtg2uk/0.jpg,,
-Fca00UwCy0,49,machine gun shooting,train,https://img.youtube.com/vi/-Fca00UwCy0/0.jpg,,
-Fec3Hn9D5I,13,church bell ringing,train,https://img.youtube.com/vi/-Fec3Hn9D5I/0.jpg,,
-Fec3Hn9D5I,42,church bell ringing,train,https://img.youtube.com/vi/-Fec3Hn9D5I/0.jpg,,
-FkTCBKMl_8,0,pumping water,train,https://img.youtube.com/vi/-FkTCBKMl_8/0.jpg,,
-FnocfLZGPc,30,waterfall burbling,train,https://img.youtube.com/vi/-FnocfLZGPc/0.jpg,,
-FtiJ38WHYM,50,stream burbling,train,https://img.youtube.com/vi/-FtiJ38WHYM/0.jpg,,
-G0mYaQJhig,360,"railroad car, train wagon",train,https://img.youtube.com/vi/-G0mYaQJhig/0.jpg,,
-G7eX4G5Frc,60,skidding,train,https://img.youtube.com/vi/-G7eX4G5Frc/0.jpg,,
-GDkljH9Hsg,11,wind noise,train,https://img.youtube.com/vi/-GDkljH9Hsg/0.jpg,,
-GDlM4qr0ec,92,people burping,train,https://img.youtube.com/vi/-GDlM4qr0ec/0.jpg,,
-GHPfOXLP2o,90,"race car, auto racing",train,https://img.youtube.com/vi/-GHPfOXLP2o/0.jpg,,
-GJ-yBIiXZ8,120,driving motorcycle,train,https://img.youtube.com/vi/-GJ-yBIiXZ8/0.jpg,,
-GLk6G9U09A,30,driving buses,train,https://img.youtube.com/vi/-GLk6G9U09A/0.jpg,,
-GM-ogU1Q4s,21,horse clip-clop,train,https://img.youtube.com/vi/-GM-ogU1Q4s/0.jpg,,
-GR4oIdROrk,29,basketball bounce,train,https://img.youtube.com/vi/-GR4oIdROrk/0.jpg,,
-GTJNoTd14k,30,car passing by,train,https://img.youtube.com/vi/-GTJNoTd14k/0.jpg,,
-GW9--61qGI,0,people whistling,train,https://img.youtube.com/vi/-GW9--61qGI/0.jpg,,
-GiUsfDrpGA,219,people burping,train,https://img.youtube.com/vi/-GiUsfDrpGA/0.jpg,,
-GnKRy1-NFo,150,chainsawing trees,train,https://img.youtube.com/vi/-GnKRy1-NFo/0.jpg,,
-GpKqk_i0JU,30,"motorboat, speedboat acceleration",train,https://img.youtube.com/vi/-GpKqk_i0JU/0.jpg,,
-Gq9GTPeFow,9,car engine knocking,train,https://img.youtube.com/vi/-Gq9GTPeFow/0.jpg,,
-Gq9GTPeFow,20,car engine knocking,train,https://img.youtube.com/vi/-Gq9GTPeFow/0.jpg,,
-GqQBNJ9yz8,30,car passing by,train,https://img.youtube.com/vi/-GqQBNJ9yz8/0.jpg,,
-Gr9P8Abnlk,110,toilet flushing,test,https://img.youtube.com/vi/-Gr9P8Abnlk/0.jpg,,
-GxNDcOTjOg,102,basketball bounce,train,https://img.youtube.com/vi/-GxNDcOTjOg/0.jpg,,
-GxNDcOTjOg,146,basketball bounce,train,https://img.youtube.com/vi/-GxNDcOTjOg/0.jpg,,
-GymV9gkAHE,33,train wheels squealing,train,https://img.youtube.com/vi/-GymV9gkAHE/0.jpg,,
-GymV9gkAHE,100,train wheels squealing,train,https://img.youtube.com/vi/-GymV9gkAHE/0.jpg,,
-Gz3fJ1ZDCQ,0,typing on computer keyboard,train,https://img.youtube.com/vi/-Gz3fJ1ZDCQ/0.jpg,,
-H1_pKntTx4,30,helicopter,train,https://img.youtube.com/vi/-H1_pKntTx4/0.jpg,,
-H369jUtqjc,30,"motorboat, speedboat acceleration",train,https://img.youtube.com/vi/-H369jUtqjc/0.jpg,,
-H4GaC4DugA,0,splashing water,train,https://img.youtube.com/vi/-H4GaC4DugA/0.jpg,,
-H4tPZGMCZo,30,people running,train,https://img.youtube.com/vi/-H4tPZGMCZo/0.jpg,,
-HAoExLVs6Q,380,"railroad car, train wagon",test,https://img.youtube.com/vi/-HAoExLVs6Q/0.jpg,,
-HDFlW6kofA,0,chainsawing trees,train,https://img.youtube.com/vi/-HDFlW6kofA/0.jpg,,
-HG3Omg_89c,30,"motorboat, speedboat acceleration",train,https://img.youtube.com/vi/-HG3Omg_89c/0.jpg,,
-HHIfIzlfEA,10,people farting,train,https://img.youtube.com/vi/-HHIfIzlfEA/0.jpg,,
-HIPq7T3eFI,11,driving motorcycle,train,https://img.youtube.com/vi/-HIPq7T3eFI/0.jpg,,
-HUcjhcskP4,40,"railroad car, train wagon",train,https://img.youtube.com/vi/-HUcjhcskP4/0.jpg,,
-HVg-i88xE0,30,car passing by,train,https://img.youtube.com/vi/-HVg-i88xE0/0.jpg,,
-HXwnBVE19E,2,horse clip-clop,train,https://img.youtube.com/vi/-HXwnBVE19E/0.jpg,,
-H_3oEkKe0M,50,driving motorcycle,train,https://img.youtube.com/vi/-H_3oEkKe0M/0.jpg,,
-Hb1-ExzeHM,510,"subway, metro, underground",train,https://img.youtube.com/vi/-Hb1-ExzeHM/0.jpg,,
-HjmhPJh54k,15,toilet flushing,train,https://img.youtube.com/vi/-HjmhPJh54k/0.jpg,,
